RID ethnicity income
  13461 AA 25000-50000
  13501 AA >75000
  13531 CA 50000-75000
  13551 CA 50000-75000
  13561 CA <25000
  13571 CA 50000-75000
  13701 CA >75000
  13771 CA <25000
  13851 CA 50000-75000
  13871 AA 50000-75000
  13901 CA 50000-75000
  13931 CA <25000
  14001 CA >75000
  14031 AA <25000
  14061 CA 25000-50000
  14091 AA >75000
  14111 CA 50000-75000
  14151 AA >75000
  14231 AA >75000
  14471 CA >75000
  14541 CA >75000
  14591 CA >75000
  14681 CA 50000-75000
  14711 CA 50000-75000
  14781 CA >75000
  14791 AA 25000-50000
  14811 CA >75000
  14821 CA >75000
  14831 CA >75000
  14841 AA <25000
  14911 CA >75000
  14931 AA 50000-75000
  14941 CA >75000
  14951 CA 50000-75000
  14971 CA 25000-50000
  14991 CA 50000-75000
  15101 CA 50000-75000
  15131 AA <25000
  15191 CA >75000
  15221 AA 25000-50000
  15241 CA >75000
  15391 CA <25000
  15451 AA NA
  15571 AA 50000-75000
  15661 AA <25000
  15731 CA 50000-75000
  15741 AA >75000
  15811 AA 25000-50000
  15861 AA 50000-75000
  15881 CA 50000-75000
  15931 AA <25000
  15941 AA >75000
  16001 AA <25000
  16081 AA <25000
  16091 AA 50000-75000
  16171 CA <25000
  16281 CA 25000-50000
  16301 CA >75000
  16321 CA >75000
  16401 CA >75000
  16421 AA 50000-75000
  16501 AA >75000
  16531 AA >75000
  16571 CA >75000
  16701 AA NA
  16711 AA NA
  16721 CA 25000-50000
  16731 CA >75000
  16741 AA 25000-50000
  16831 AA 50000-75000
  17001 CA >75000
  17011 AA 50000-75000
  17101 AA >75000
  17111 AA >75000
  17171 AA 50000-75000
  17201 AA 25000-50000
  17331 CA >75000
  17351 CA >75000
  17361 CA >75000
  17391 CA 50000-75000
  17411 CA NA
  17421 CA >75000
  17431 AA >75000
  17501 AA 50000-75000
  17521 CA 50000-75000
  17621 AA >75000
  17691 CA >75000
  17711 CA >75000
  17741 CA >75000
  17771 CA 50000-75000
  17811 CA >75000
  17821 AA <25000
  17831 CA NA
  17861 CA <25000
  17911 AA 25000-50000
  17961 AA 50000-75000
  18011 CA >75000
  18061 AA <25000
  18141 AA 50000-75000
  18161 CA 50000-75000
  18171 AA 25000-50000
  18281 AA 25000-50000
  18291 CA >75000
  18351 AA <25000
  18441 AA 25000-50000
  18471 AA 25000-50000
  18491 AA 50000-75000
  18561 CA 50000-75000
  18581 AA NA
  18691 AA 25000-50000
  18741 AA <25000
  18751 CA >75000
  18761 CA >75000
  18791 AA NA
  18801 AA NA
  18841 AA <25000
  18881 AA >75000
  18941 AA 25000-50000
  18951 CA >75000
  18971 AA NA
  19141 AA 50000-75000
  19151 AA >75000
  19181 AA 50000-75000
  19281 AA 25000-50000
  19341 CA <25000
  19431 CA <25000
  19441 CA 50000-75000
  19501 CA >75000
  19521 CA >75000
  19611 CA >75000
  19621 AA >75000
  19711 AA 25000-50000
  19741 CA >75000
  19801 CA >75000
  19831 AA >75000
  19861 AA 50000-75000
  19901 AA 50000-75000
  19921 CA 50000-75000
  19951 AA 50000-75000
  20001 CA 50000-75000
  20051 CA 50000-75000
  20131 AA 25000-50000
  20201 CA 25000-50000
  20231 AA >75000
  20281 AA >75000
  20341 CA 50000-75000
  20361 AA 50000-75000
  20421 AA >75000
  20441 AA >75000
  20571 AA <25000
  20601 AA <25000
  20681 AA 50000-75000
  20711 AA <25000
  20731 CA 25000-50000
  20811 AA <25000
  20851 AA >75000
  20891 CA 50000-75000
  20961 CA 50000-75000
  21051 CA 50000-75000
  21081 AA <25000
  21091 AA 50000-75000
  21151 CA 25000-50000
  21171 AA 25000-50000
  21301 CA >75000
  21401 CA 50000-75000
  21511 CA 50000-75000
  21531 CA 50000-75000
  21601 AA >75000
  21631 AA <25000
  21751 AA <25000
  21771 AA 25000-50000
  21871 CA >75000
  21881 AA <25000
  21891 CA 50000-75000
  21941 AA <25000
  21951 AA 50000-75000
  21961 AA 50000-75000
  22081 AA 50000-75000
  22111 CA >75000
  22261 AA >75000
  22341 CA >75000
  22611 AA 50000-75000
  22631 CA 50000-75000
  22661 CA <25000
  22701 AA 50000-75000
  22731 CA 50000-75000
  22761 AA <25000
  22871 AA 50000-75000
  22951 CA >75000
  22971 CA >75000
  23001 AA 50000-75000
  23021 CA 50000-75000
  23061 AA >75000
  23071 CA >75000
  23131 AA 50000-75000
  23141 AA 50000-75000
  23191 CA >75000
  23211 CA >75000
  23251 AA 50000-75000
  23351 AA 50000-75000
  23461 AA 25000-50000
  23501 AA 50000-75000
  23521 CA >75000
  23621 CA 50000-75000
  23651 CA >75000
  23681 CA 25000-50000
  23711 AA <25000
  23911 CA >75000
  23991 AA 25000-50000
  24001 AA <25000
  24021 CA >75000
  24211 CA 50000-75000
  24241 AA >75000
  24321 AA >75000
  24361 AA 25000-50000
  24391 CA >75000
  24401 AA >75000
  24431 AA 25000-50000
  24541 CA >75000
  24671 AA 25000-50000
  24681 AA 50000-75000
  24701 CA >75000
  24711 AA 25000-50000
  24721 AA 50000-75000
  24791 CA >75000
  24841 CA >75000
  24931 AA <25000
  24941 AA 25000-50000
  24961 CA 50000-75000
  24981 CA 50000-75000
  25001 CA >75000
  25031 AA 50000-75000
  25041 AA 25000-50000
  25061 AA >75000
  25091 CA 50000-75000
  25171 CA >75000
  25201 AA NA
  25301 AA NA
  25391 AA 50000-75000
  25451 CA >75000
  25571 AA <25000
  25671 AA 25000-50000
  25701 AA 50000-75000
  25731 AA >75000
  25881 AA 25000-50000
  25901 CA >75000
  25911 AA >75000
  25961 CA >75000
  26021 CA >75000
  26051 CA >75000
  26101 CA >75000
  26171 CA 50000-75000
  26351 AA NA
  26371 CA >75000
  26411 AA 50000-75000
  26441 AA 50000-75000
  26501 AA NA
  26541 CA >75000
  26571 AA 25000-50000
  26631 CA >75000
  26661 AA >75000
  26691 CA NA
  26731 CA >75000
  26761 AA NA
  26831 CA <25000
  26861 AA 50000-75000
  26871 CA >75000
  26901 AA 25000-50000
  26921 AA 25000-50000
  26951 CA NA
  27011 AA NA
  27021 AA <25000
  27031 AA 50000-75000
  27041 CA >75000
  27061 AA 25000-50000
  27071 AA 25000-50000
  27111 AA 25000-50000
  27141 CA 50000-75000
  27151 AA 50000-75000
  27171 AA <25000
  27201 AA NA
  27331 AA <25000
  27451 AA 50000-75000
  27461 AA NA
  27481 CA >75000
  27551 AA >75000
  27561 AA <25000
  27631 CA >75000
  27651 AA >75000
  27691 AA 25000-50000
  27721 CA >75000
  27871 AA >75000
  27891 AA NA
  28061 CA >75000
  28091 CA >75000
  28121 CA 50000-75000
  28151 AA >75000
  28161 AA <25000
  28191 AA 25000-50000
  28201 AA 25000-50000
  28251 AA 50000-75000
  28341 AA 25000-50000
  28431 CA 50000-75000
  28451 CA >75000
  28461 AA >75000
  28511 CA >75000
  28541 AA <25000
  28601 CA NA
  28661 AA <25000
  28681 CA >75000
  28711 CA >75000
  28751 AA <25000
  28761 AA 50000-75000
  28771 CA >75000
  28791 AA 25000-50000
  28811 CA 50000-75000
  28821 CA 50000-75000
  28861 CA >75000
  28881 AA <25000
  28921 AA 50000-75000
  29011 AA <25000
  29021 AA 50000-75000
  29141 AA <25000
  29171 CA 50000-75000
  29211 CA >75000
  29231 CA 50000-75000
  29271 AA 50000-75000
  29281 AA 25000-50000
  29381 AA 25000-50000
  29461 AA 50000-75000
  29631 AA >75000
  29651 CA <25000
  29661 CA 50000-75000
  29691 CA <25000
  29711 AA >75000
  29731 AA 25000-50000
  29741 CA NA
  29841 AA <25000
  29961 CA 50000-75000
  30021 AA <25000
  30041 AA >75000
  30251 CA 50000-75000
  30301 AA 25000-50000
  30321 AA 50000-75000
  30331 CA 50000-75000
  30361 CA >75000
  30381 CA >75000
  30451 CA NA
  30571 AA 50000-75000
  30641 CA 50000-75000
  30661 CA >75000
  30741 CA 50000-75000
  30801 AA >75000
  30991 AA 50000-75000
  31071 CA 50000-75000
  31151 AA 25000-50000
  31191 CA >75000
  31261 AA <25000
  31271 AA >75000
  31361 CA 25000-50000
  31381 CA 50000-75000
  31691 CA 50000-75000
  31701 AA 25000-50000
  31771 CA >75000
  31821 AA >75000
  31851 AA 50000-75000
  31861 CA 50000-75000
  31971 AA 50000-75000
  31981 CA 50000-75000
  31991 CA >75000
  32001 AA >75000
  32061 AA NA
  32101 CA 50000-75000
  32151 CA >75000
  32371 AA >75000
  32431 CA >75000
  32491 AA 25000-50000
  32551 CA >75000
  32561 CA >75000
  32571 CA >75000
  32641 AA NA
  32701 CA NA
  32731 AA NA
  32741 CA 25000-50000
  32781 CA >75000
  32791 CA 25000-50000
  32801 AA 50000-75000
  32831 AA >75000
  32841 AA >75000
  32861 CA 50000-75000
  33021 AA NA
  33111 CA >75000
  33141 CA <25000
  33361 AA 25000-50000
  33371 AA 50000-75000
  33471 AA 25000-50000
  33481 CA 50000-75000
  33491 AA <25000
  33531 CA >75000
  33581 AA <25000
  33691 AA >75000
  33721 AA <25000
  33781 AA 50000-75000
  33811 CA <25000
  33871 CA 50000-75000
  33941 CA 25000-50000
  33961 CA 50000-75000
  33971 CA >75000
  34061 AA >75000
  34111 AA >75000
  34191 AA 50000-75000
  34211 CA <25000
  34231 AA 25000-50000
  34291 AA 50000-75000
  34301 CA >75000
  34401 CA >75000
  34571 AA 50000-75000
  34611 AA 25000-50000
  34621 CA >75000
  34661 AA <25000
  34691 CA 50000-75000
  34731 CA 50000-75000
  34791 AA >75000
  34831 AA <25000
  34881 CA 25000-50000
  34951 AA 25000-50000
  35031 AA 50000-75000
  35041 CA >75000
  35131 CA 50000-75000
  35151 AA 50000-75000
  35161 CA 25000-50000
  35211 CA NA
  35221 AA 50000-75000
  35301 AA <25000
  35391 CA >75000
  35411 AA >75000
  35471 CA >75000
  35541 AA <25000
  35621 CA 50000-75000
  35661 AA <25000
  35911 AA 50000-75000
  35991 AA >75000
  36041 CA >75000
  36081 CA 50000-75000
  36121 CA 50000-75000
  36231 AA 50000-75000
  36241 CA >75000
  36261 AA NA
  36301 AA 50000-75000
  36331 AA 50000-75000
  36391 AA 50000-75000
  36431 AA <25000
  36481 AA NA
  36491 CA >75000
  36501 AA >75000
  36571 AA 25000-50000
  36601 AA 50000-75000
  36611 AA <25000
  36641 CA 50000-75000
  36711 CA 25000-50000
  36721 AA 25000-50000
  36801 CA 50000-75000
  36831 AA >75000
  36861 AA NA
  36911 CA 50000-75000
  36931 AA >75000
  36951 CA 50000-75000
  36971 AA 50000-75000
  37031 CA 50000-75000
  37051 CA >75000
  37121 AA <25000
  37141 CA >75000
  37201 CA 50000-75000
  37231 CA >75000
  37311 AA 50000-75000
  37341 AA <25000
  37381 CA >75000
  37421 AA <25000
  37451 CA 50000-75000
  37481 CA >75000
  37501 CA 50000-75000
  37541 CA 50000-75000
  37551 AA 25000-50000
  37571 CA 50000-75000
  37581 CA <25000
  37621 AA 50000-75000
  37651 AA <25000
  37721 CA 25000-50000
  37791 AA NA
  37801 CA 50000-75000
  37851 CA 50000-75000
  37891 AA 50000-75000
  37931 CA NA
  37941 CA >75000
  37971 AA 50000-75000
  38031 CA >75000
  38061 AA <25000
  38091 AA <25000
  38111 CA 25000-50000
  38151 CA 50000-75000
  38161 AA 50000-75000
  38271 CA 50000-75000
  38321 AA >75000
  38341 AA 50000-75000
  38431 CA 25000-50000
  38441 CA >75000
  38511 CA >75000
  38641 CA >75000
  38671 AA >75000
  38681 CA 50000-75000
  38711 CA >75000
  38821 CA >75000
  38851 AA >75000
  38961 CA 50000-75000
  39011 AA <25000
  39041 AA <25000
  39071 CA 50000-75000
  39081 AA 50000-75000
  39111 AA <25000
  39241 AA >75000
  39271 CA 50000-75000
  39301 CA 25000-50000
  39341 CA 25000-50000
  39381 AA 50000-75000
  39401 AA 50000-75000
  39421 AA >75000
  39451 CA 50000-75000
  39481 AA 25000-50000
  39491 AA <25000
  39591 CA >75000
  39611 CA >75000
  39631 CA >75000
  39651 AA <25000
  39781 AA <25000
  39831 AA >75000
  39891 CA <25000
  39961 CA >75000
  40021 CA >75000
  40051 AA 50000-75000
  40061 CA >75000
  40131 AA NA
  40141 AA >75000
  40221 AA 50000-75000
  40231 AA 50000-75000
  40271 AA 50000-75000
  40281 AA 50000-75000
  40301 CA >75000
  40411 AA <25000
  40431 CA 50000-75000
  40541 CA >75000
  40551 AA 50000-75000
  40571 AA 50000-75000
  40631 AA 50000-75000
  40641 CA 50000-75000
  40811 AA NA
  40831 CA <25000
  40921 AA <25000
  41001 AA >75000
  41061 CA 50000-75000
  41161 AA 25000-50000
  41191 AA >75000
  41281 CA >75000
  41301 AA <25000
  41411 AA 25000-50000
  41421 CA >75000
  41431 CA >75000
  41471 AA 50000-75000
  41801 AA <25000
  41811 CA >75000
  41871 CA >75000
  41901 CA >75000
  41961 CA NA
  41981 AA >75000
  42001 AA 50000-75000
  42041 AA >75000
  42091 CA 25000-50000
  42101 AA 25000-50000
  42141 AA 50000-75000
  42161 CA <25000
  42181 AA <25000
  42231 AA 25000-50000
  42251 CA >75000
  42261 CA 25000-50000
  42271 CA >75000
  42321 AA 50000-75000
  42421 AA 50000-75000
  42431 AA 25000-50000
  42461 CA 50000-75000
  42491 AA <25000
  42591 AA 50000-75000
  42621 CA 50000-75000
  42631 AA <25000
  42681 AA >75000
  42771 AA 50000-75000
  42781 AA >75000
  42841 AA <25000
  42851 CA >75000
  42931 CA >75000
  42951 CA 25000-50000
  43111 CA >75000
  43161 CA >75000
  43241 CA >75000
  43301 AA 50000-75000
  43321 AA <25000
  43381 AA <25000
  43401 CA 50000-75000
  43411 CA 25000-50000
  43431 AA <25000
  43501 CA >75000
  43541 CA >75000
  43581 CA <25000
  43671 CA 50000-75000
  43751 CA >75000
  43781 CA >75000
  43801 AA <25000
  43921 AA >75000
  43991 AA 50000-75000
  44031 CA 50000-75000
  44111 CA >75000
  44131 CA 25000-50000
  44161 CA >75000
  44171 AA <25000
  44191 AA <25000
  44241 AA >75000
  44331 CA >75000
  44401 AA 25000-50000
  44431 AA NA
  44441 CA <25000
  44451 AA NA
  44461 AA <25000
  44471 AA <25000
  44491 AA >75000
  44521 CA 50000-75000
  44551 AA >75000
  44591 AA >75000
  44621 CA >75000
  44651 CA 25000-50000
  44691 AA >75000
  44701 AA <25000
  44761 CA >75000
  44931 AA 50000-75000
  44961 CA >75000
  45071 AA >75000
  45111 CA >75000
  45121 AA >75000
  45191 AA >75000
  45221 CA >75000
  45231 AA >75000
  45271 AA 50000-75000
  45291 AA 50000-75000
  45551 CA >75000
  45621 AA 25000-50000
  45661 AA 25000-50000
  45691 AA >75000
  45711 CA 50000-75000
  45731 AA 50000-75000
  45761 AA >75000
  45771 CA >75000
  45941 CA <25000
  45991 AA 25000-50000
  46041 CA >75000
  46111 AA <25000
  46161 CA 50000-75000
  46171 CA >75000
  46181 CA >75000
  46211 AA <25000
  46271 CA >75000
  46281 AA >75000
  46371 AA 25000-50000
  46381 AA <25000
  46431 AA <25000
  46491 AA >75000
  46561 AA >75000
  46601 CA >75000
  46711 AA 25000-50000
  46751 AA 50000-75000
  46811 AA 25000-50000
  46881 AA <25000
  46901 CA >75000
  46931 CA >75000
  46961 AA 50000-75000
  46981 AA 25000-50000
  46991 CA >75000
  47001 CA >75000
  47041 CA 25000-50000
  47081 AA <25000
  47131 AA >75000
  47211 AA <25000
  47261 AA 50000-75000
  47291 CA >75000
  47301 CA 25000-50000
  47351 CA 25000-50000
  47361 AA 50000-75000
  47481 CA >75000
  47501 AA <25000
  47551 CA >75000
