RID ethnicity income
  60101 CA 50000-75000
  60131 CA 50000-75000
  60181 AA 50000-75000
  60191 CA >75000
  60201 CA 50000-75000
  60251 CA >75000
  60261 CA 25000-50000
  60341 CA >75000
  60381 CA 50000-75000
  60441 CA NA
  60491 AA <25000
  60541 CA 50000-75000
  60601 CA 50000-75000
  60711 CA 50000-75000
  60771 AA <25000
  60821 CA >75000
  60941 AA 50000-75000
  61121 AA >75000
  61151 CA >75000
  61291 AA 25000-50000
  61361 CA 50000-75000
  61421 AA NA
  61481 AA 50000-75000
  61511 AA >75000
  61541 AA <25000
  61551 AA 50000-75000
  61611 AA >75000
  61751 AA <25000
  61811 AA 50000-75000
  61901 AA <25000
  61951 AA 50000-75000
  62001 AA <25000
  62021 AA 50000-75000
  62031 AA >75000
  62071 AA <25000
  62241 AA NA
  62321 CA <25000
  62331 AA <25000
  62341 AA >75000
  62371 AA <25000
  62381 CA >75000
  62401 CA >75000
  62441 CA >75000
  62451 CA >75000
  62541 AA 50000-75000
  62571 AA >75000
  62591 CA 50000-75000
  62611 AA >75000
  62731 AA 25000-50000
  62741 AA >75000
  62841 CA 25000-50000
  62921 AA >75000
  62931 AA 50000-75000
  62971 CA >75000
  62991 AA <25000
  63101 CA >75000
  63291 AA <25000
  63321 AA 25000-50000
  63381 CA NA
  63431 AA <25000
  63491 CA >75000
  63551 CA >75000
  63651 AA >75000
  63721 AA >75000
  63781 AA <25000
  63811 CA 50000-75000
  63841 CA >75000
  63871 AA 50000-75000
  63931 AA >75000
  63981 AA <25000
  64041 CA 50000-75000
  64161 CA >75000
  64181 AA 25000-50000
  64271 CA 50000-75000
  64291 CA 50000-75000
  64331 AA 50000-75000
  64421 AA <25000
  64451 AA <25000
  64461 CA >75000
  64471 CA >75000
  64501 CA >75000
  64671 CA >75000
  64691 CA 25000-50000
  64781 AA 50000-75000
  64821 CA 50000-75000
  64951 CA 50000-75000
  65051 AA 50000-75000
  65071 CA >75000
  65091 CA >75000
  65161 AA 25000-50000
  65171 CA >75000
  65231 CA 50000-75000
  65361 AA 50000-75000
  65411 AA 50000-75000
  65431 AA <25000
  65521 AA 50000-75000
  65551 AA <25000
  65631 AA >75000
  65651 CA >75000
  65661 CA 50000-75000
  65671 AA <25000
  65681 AA 25000-50000
  65721 AA NA
  65761 AA <25000
  65791 CA >75000
  65801 CA >75000
  65841 CA >75000
  65881 CA 50000-75000
  65891 CA >75000
  65941 AA 25000-50000
  65961 AA <25000
  65971 CA 50000-75000
  66031 AA <25000
  66041 AA 50000-75000
  66051 CA NA
  66121 AA 25000-50000
  66261 AA <25000
  66301 AA 25000-50000
  66371 CA >75000
  66521 CA 25000-50000
  66551 AA <25000
  66581 AA >75000
  66601 CA >75000
  66651 AA 50000-75000
  66701 CA 50000-75000
  66731 AA <25000
  66851 AA 25000-50000
  66861 AA <25000
  66871 AA >75000
  66901 CA 50000-75000
  66921 AA 50000-75000
  66951 CA 25000-50000
  66971 AA <25000
  66981 CA 50000-75000
  67101 AA 50000-75000
  67171 AA 50000-75000
  67221 CA >75000
  67281 CA >75000
  67291 AA 50000-75000
  67381 AA <25000
  67441 AA <25000
  67461 CA NA
  67481 AA NA
  67491 AA 50000-75000
  67541 AA >75000
  67581 CA 50000-75000
  67611 CA 50000-75000
  67701 AA 25000-50000
  67741 AA <25000
  67771 CA 50000-75000
  67791 AA >75000
  67861 AA >75000
  67871 CA >75000
  67901 CA >75000
  67911 CA >75000
  67941 AA 25000-50000
  67961 CA >75000
  67971 AA <25000
  68111 AA >75000
  68121 CA 50000-75000
  68191 CA 50000-75000
  68211 AA <25000
  68401 AA <25000
  68411 CA <25000
  68481 CA >75000
  68581 AA >75000
  68691 AA 25000-50000
  68721 AA 25000-50000
  68781 AA <25000
  68801 AA <25000
  68891 AA 50000-75000
  68911 CA >75000
  68951 CA 25000-50000
  68991 AA <25000
  69041 AA 50000-75000
  69051 CA 50000-75000
  69071 CA >75000
  69111 AA 50000-75000
  69181 AA NA
  69281 AA <25000
  69301 CA 25000-50000
  69401 CA 50000-75000
  69411 CA NA
  69521 CA >75000
  69541 CA >75000
  69561 AA NA
  69621 AA >75000
  69651 AA 50000-75000
  69701 CA >75000
  69731 CA >75000
  69771 AA 25000-50000
  69811 AA <25000
  69971 AA 50000-75000
  70031 CA <25000
  70071 CA >75000
  70241 AA >75000
  70341 AA >75000
  70451 AA 50000-75000
  70461 AA 50000-75000
  70531 AA 50000-75000
  70591 CA >75000
  70641 CA <25000
  70701 CA >75000
  70801 AA 50000-75000
  70821 CA 50000-75000
  70851 AA 50000-75000
  70941 AA 50000-75000
  70951 AA <25000
  71001 CA NA
  71091 AA 50000-75000
  71301 AA 25000-50000
  71331 CA >75000
  71391 AA <25000
  71461 AA <25000
  71581 AA <25000
  71651 CA >75000
  71701 AA >75000
  71721 AA 50000-75000
  71801 CA NA
  71981 AA <25000
  72051 CA >75000
  72371 CA >75000
  72411 CA 25000-50000
  72451 AA 25000-50000
  72631 CA >75000
  72641 CA >75000
  72661 CA >75000
  72751 AA >75000
  72831 AA <25000
  72841 AA NA
  72881 CA 50000-75000
  72951 AA >75000
  72961 CA >75000
  73001 CA >75000
  73091 CA 50000-75000
  73121 CA 50000-75000
  73191 AA 50000-75000
  73201 AA 25000-50000
  73211 AA >75000
  73281 AA NA
  73331 CA >75000
  73381 AA 50000-75000
  73421 AA >75000
  73451 CA 25000-50000
  73461 CA 25000-50000
  73501 CA <25000
  73761 CA >75000
  73791 CA >75000
  73821 CA <25000
  73871 AA 25000-50000
  73881 AA 50000-75000
  73991 AA >75000
  74091 AA 25000-50000
  74111 AA <25000
  74191 AA 50000-75000
  74221 CA 25000-50000
  74241 CA 50000-75000
  74291 AA <25000
  74301 CA >75000
  74351 AA <25000
  74411 AA <25000
  74461 CA 50000-75000
  74521 AA <25000
  74601 AA >75000
  74621 CA >75000
  74641 AA 50000-75000
  74821 AA 50000-75000
  74911 CA 50000-75000
  74921 CA >75000
  74981 CA >75000
  75071 AA <25000
  75111 AA 25000-50000
  75191 CA >75000
  75201 CA 50000-75000
  75221 AA 50000-75000
  75271 AA <25000
  75321 CA <25000
  75381 AA 50000-75000
  75441 CA >75000
  75481 AA 25000-50000
  75551 AA >75000
  75601 CA NA
  75641 CA 25000-50000
  75661 CA 50000-75000
  75681 AA 50000-75000
  75701 CA 50000-75000
  75771 CA >75000
  75821 CA >75000
  75841 CA 50000-75000
  75881 CA 50000-75000
  75911 CA 50000-75000
  76001 AA >75000
  76011 CA 50000-75000
  76031 CA >75000
  76041 CA 50000-75000
  76111 CA >75000
  76171 AA <25000
  76241 CA 50000-75000
  76261 CA 50000-75000
  76301 CA >75000
  76311 CA <25000
  76371 CA NA
  76411 CA >75000
  76421 CA >75000
  76471 CA >75000
  76481 AA 25000-50000
  76561 CA >75000
  76641 CA 50000-75000
  76651 AA <25000
  76681 AA <25000
  76721 CA >75000
  76731 AA >75000
  76791 CA 50000-75000
  76861 CA 50000-75000
  76901 AA 50000-75000
  76931 AA <25000
  76941 CA >75000
  76961 CA 50000-75000
  77021 CA 50000-75000
  77051 CA NA
  77061 CA >75000
  77121 CA 25000-50000
  77231 CA <25000
  77591 CA 50000-75000
  77661 AA >75000
  77711 AA >75000
  77881 CA >75000
  77901 AA 25000-50000
  77921 CA >75000
  78091 CA >75000
  78111 AA 50000-75000
  78141 AA 25000-50000
  78181 AA 25000-50000
  78221 AA 50000-75000
  78361 AA 50000-75000
  78401 CA 25000-50000
  78501 AA <25000
  78521 CA 50000-75000
  78651 CA >75000
  78691 CA >75000
  78821 AA >75000
  78831 AA >75000
  78891 AA >75000
  78921 CA >75000
  78991 AA <25000
  79031 CA 50000-75000
  79061 AA 25000-50000
  79121 CA 50000-75000
  79151 CA 50000-75000
  79221 AA <25000
  79231 AA >75000
  79251 AA <25000
  79291 AA >75000
  79331 CA <25000
  79401 CA >75000
  79421 AA <25000
  79481 AA 25000-50000
  79531 CA 50000-75000
  79541 AA 50000-75000
  79551 CA 50000-75000
  79571 CA 50000-75000
  79581 AA NA
  79621 CA >75000
  79641 AA 50000-75000
  79711 AA >75000
  79721 AA >75000
  79831 CA >75000
  79871 CA >75000
  79891 CA >75000
  79901 AA <25000
  79941 CA >75000
  79961 AA NA
  79971 AA <25000
  80041 AA 25000-50000
  80071 CA 50000-75000
  80091 CA 50000-75000
  80151 CA 50000-75000
  80181 CA NA
  80191 AA <25000
  80201 AA 25000-50000
  80291 AA <25000
  80311 AA 50000-75000
  80341 CA 50000-75000
  80351 AA 25000-50000
  80491 CA 25000-50000
  80571 CA <25000
  80601 AA 50000-75000
  80661 AA NA
  80701 CA 50000-75000
  80731 CA >75000
  80811 AA >75000
  80851 AA 50000-75000
  80911 AA <25000
  80921 AA <25000
  80931 AA 25000-50000
  81001 CA 50000-75000
  81031 AA 25000-50000
  81081 AA >75000
  81091 AA 25000-50000
  81151 CA >75000
  81181 CA >75000
  81341 AA 25000-50000
  81351 CA NA
  81361 AA 25000-50000
  81391 AA <25000
  81561 CA >75000
  81611 AA 25000-50000
  81691 AA 50000-75000
  81711 AA NA
  81811 AA >75000
  81891 CA <25000
  81911 AA 25000-50000
  81921 CA >75000
  82061 AA 25000-50000
  82071 CA 25000-50000
  82081 AA <25000
  82181 CA >75000
  82201 CA 25000-50000
  82231 CA >75000
  82241 CA 50000-75000
  82331 CA 50000-75000
  82371 CA >75000
  82381 CA 50000-75000
  82391 CA >75000
  82421 AA >75000
  82451 AA 50000-75000
  82501 AA 50000-75000
  82531 CA >75000
  82571 CA 50000-75000
  82591 AA <25000
  82631 AA 25000-50000
  82691 CA 50000-75000
  82701 AA <25000
  82771 AA NA
  82801 AA >75000
  82831 AA 50000-75000
  82871 AA >75000
  82881 CA >75000
  82891 AA >75000
  82931 CA 50000-75000
  82951 CA 50000-75000
  82971 AA 50000-75000
  83061 CA 50000-75000
  83101 CA >75000
  83131 AA >75000
  83261 CA <25000
  83291 AA 50000-75000
  83321 CA >75000
  83341 CA >75000
  83361 AA 25000-50000
  83401 CA 50000-75000
  83431 AA 50000-75000
  83441 AA >75000
  83471 CA 50000-75000
  83561 AA >75000
  83581 AA >75000
  83611 CA 50000-75000
  83641 CA <25000
  83701 CA <25000
  83731 AA >75000
  83831 CA 25000-50000
  83871 AA >75000
  83901 AA >75000
  83991 CA >75000
  84041 CA >75000
  84051 AA 25000-50000
  84061 AA 50000-75000
  84081 AA <25000
  84161 AA <25000
  84291 AA >75000
  84331 CA >75000
  84371 CA >75000
  84391 CA >75000
  84481 CA <25000
  84491 CA >75000
  84551 CA >75000
  84621 AA 50000-75000
  84691 AA <25000
  84711 CA >75000
  84801 CA 50000-75000
  84821 AA 25000-50000
  84831 AA <25000
  84861 CA 50000-75000
  84971 CA 25000-50000
  85021 AA >75000
  85041 AA 25000-50000
  85071 CA 50000-75000
  85081 AA >75000
  85111 AA >75000
  85171 CA 50000-75000
  85231 CA >75000
  85241 CA 50000-75000
  85251 AA 25000-50000
  85301 CA >75000
  85311 AA <25000
  85321 AA >75000
  85361 AA 25000-50000
  85421 AA 50000-75000
  85441 CA 25000-50000
  85471 CA NA
  85511 CA 50000-75000
  85611 AA <25000
  85661 AA >75000
  85681 CA >75000
  85691 AA 50000-75000
  85701 CA 50000-75000
  85761 AA 50000-75000
  85821 AA 50000-75000
  85831 AA 50000-75000
  85951 AA >75000
  85981 CA 50000-75000
  85991 AA <25000
  86021 CA 50000-75000
  86061 AA 25000-50000
  86081 CA >75000
  86091 CA >75000
  86101 CA 50000-75000
  86171 CA >75000
  86191 AA 50000-75000
  86211 CA >75000
  86281 AA NA
  86291 CA <25000
  86341 CA >75000
  86351 CA 25000-50000
  86371 CA 25000-50000
  86411 AA >75000
  86461 CA >75000
  86511 AA 25000-50000
  86531 AA >75000
  86561 AA 50000-75000
  86571 AA 25000-50000
  86601 AA 25000-50000
  86621 AA NA
  86681 AA >75000
  86731 AA <25000
  86791 CA >75000
  86811 CA 50000-75000
  86831 CA <25000
  86861 CA NA
  86871 CA >75000
  86881 AA >75000
  86891 CA >75000
  86921 CA >75000
  87031 CA 25000-50000
  87071 CA 50000-75000
  87081 AA 25000-50000
  87221 AA 50000-75000
  87271 CA 25000-50000
  87281 AA 50000-75000
  87351 AA 50000-75000
  87401 CA >75000
  87491 AA 25000-50000
  87541 AA 50000-75000
  87551 AA 50000-75000
  87591 AA 50000-75000
  87761 AA 25000-50000
  87771 AA >75000
  87791 CA 25000-50000
  87911 CA <25000
  87971 CA 50000-75000
  88021 CA 50000-75000
  88041 AA 50000-75000
  88081 CA 50000-75000
  88141 CA 25000-50000
  88211 CA 50000-75000
  88231 AA 50000-75000
  88241 CA NA
  88261 CA 25000-50000
  88361 CA >75000
  88431 AA <25000
  88571 CA >75000
  88591 AA 50000-75000
  88841 AA NA
  88871 CA 50000-75000
  89011 CA >75000
  89021 CA 50000-75000
  89081 AA 25000-50000
  89121 CA >75000
  89231 AA 50000-75000
  89251 AA <25000
  89261 AA <25000
  89301 AA 25000-50000
  89321 AA 50000-75000
  89381 AA 50000-75000
  89471 CA >75000
  89591 AA 50000-75000
  89671 AA NA
  89681 AA 25000-50000
  89751 AA >75000
  89781 CA >75000
  89821 AA 50000-75000
  89851 AA >75000
  89861 AA 50000-75000
  89891 AA 25000-50000
  89951 AA >75000
  89981 CA >75000
  89991 CA >75000
  90131 CA >75000
  90151 AA >75000
  90181 AA <25000
  90191 AA <25000
  90211 AA 50000-75000
  90301 AA >75000
  90311 AA <25000
  90351 CA >75000
  90391 CA >75000
  90411 AA >75000
  90431 AA <25000
  90611 CA >75000
  90661 CA 25000-50000
  90681 CA 50000-75000
  90791 AA >75000
  90811 AA >75000
  90841 CA >75000
  90981 CA NA
  90991 AA <25000
  91021 CA 50000-75000
  91051 CA >75000
  91071 AA 50000-75000
  91111 AA 50000-75000
  91161 AA >75000
  91181 CA <25000
  91201 AA <25000
  91221 CA >75000
  91241 CA >75000
  91331 AA NA
  91481 AA 50000-75000
  91551 AA NA
  91611 CA >75000
  91631 CA 25000-50000
  91641 AA >75000
  91651 AA >75000
  91671 AA <25000
  91821 CA 50000-75000
  91871 AA <25000
  91931 AA <25000
  91951 CA 50000-75000
  91991 AA 50000-75000
  92001 AA 50000-75000
  92011 AA >75000
  92031 AA >75000
  92051 CA 25000-50000
  92061 CA 50000-75000
  92171 AA >75000
  92191 CA >75000
  92261 CA >75000
  92331 AA 50000-75000
  92341 AA >75000
  92371 CA 50000-75000
  92651 AA <25000
  92681 AA >75000
  92781 CA >75000
  92841 AA >75000
  92881 CA >75000
  92921 CA NA
  92941 CA >75000
  92971 CA 25000-50000
  93011 AA 50000-75000
  93031 CA 50000-75000
  93091 AA 25000-50000
  93171 CA >75000
  93231 AA >75000
  93301 CA >75000
  93351 AA 25000-50000
  93361 CA >75000
  93441 AA <25000
  93451 CA <25000
  93471 CA 25000-50000
  93601 AA 50000-75000
  93611 CA 50000-75000
  93631 AA 50000-75000
  93691 AA <25000
  93731 CA >75000
  93781 AA 50000-75000
  93801 AA 50000-75000
  93841 AA >75000
  93851 CA <25000
  93911 AA 50000-75000
  93951 CA >75000
  93961 AA 25000-50000
  93971 AA <25000
  94031 AA <25000
  94091 AA >75000
  94101 CA >75000
  94141 CA 50000-75000
  94161 AA >75000
  94191 AA >75000
  94201 CA NA
  94211 CA 50000-75000
  94261 AA 50000-75000
  94331 AA 50000-75000
  94361 AA <25000
  94441 AA 50000-75000
  94461 CA <25000
  94531 AA 50000-75000
  94571 CA >75000
  94611 CA 50000-75000
  94641 CA 25000-50000
  94661 CA >75000
  94671 CA 25000-50000
  94691 AA 25000-50000
  94731 AA >75000
  94801 CA 50000-75000
  94811 AA >75000
  94821 CA NA
  94841 CA >75000
  94851 AA 25000-50000
  94911 AA <25000
  94971 CA >75000
  94981 AA >75000
  95021 CA >75000
  95141 AA 25000-50000
  95151 CA 50000-75000
  95211 AA NA
  95271 AA 25000-50000
  95321 AA 50000-75000
  95341 AA <25000
  95411 CA 50000-75000
  95421 CA 25000-50000
  95441 CA >75000
  95561 CA 50000-75000
  95601 AA 50000-75000
  95641 AA 25000-50000
  95721 CA >75000
  95731 AA >75000
  95781 CA >75000
  95801 AA 50000-75000
  95841 AA 50000-75000
  95991 AA 25000-50000
  96121 CA >75000
  96141 AA <25000
  96151 AA >75000
  96271 CA >75000
  96351 AA <25000
  96461 CA 50000-75000
  96591 CA >75000
  96601 AA 50000-75000
  96641 CA 50000-75000
  96731 AA 50000-75000
  96751 AA 50000-75000
  96771 CA >75000
  96781 CA >75000
  96901 CA 50000-75000
  96971 AA 25000-50000
  96981 CA <25000
  97011 CA 50000-75000
  97051 CA 50000-75000
  97071 AA <25000
  97171 CA >75000
  97181 AA 50000-75000
  97201 AA >75000
  97211 AA 25000-50000
  97241 CA >75000
  97261 CA 50000-75000
  97271 CA 50000-75000
  97441 AA >75000
  97531 CA >75000
  97591 AA >75000
  97631 CA >75000
  97641 AA NA
  97721 CA >75000
  97731 CA 25000-50000
  97901 CA >75000
  97951 CA 25000-50000
  97961 CA <25000
  98001 AA <25000
  98031 AA 25000-50000
  98051 AA >75000
  98081 AA 25000-50000
  98141 AA 50000-75000
  98241 CA >75000
  98281 CA >75000
  98371 AA >75000
  98381 AA <25000
  98521 CA <25000
  98541 CA >75000
  98601 AA 50000-75000
  98611 AA 50000-75000
  98661 AA NA
  98721 AA 50000-75000
  98751 CA 50000-75000
  98781 CA >75000
  98841 AA 25000-50000
  98861 AA <25000
  98881 AA 50000-75000
  98901 CA 50000-75000
  98921 AA 25000-50000
  98971 AA 50000-75000
  98981 AA >75000
  98991 AA <25000
  99021 AA 50000-75000
  99061 CA <25000
  99231 AA >75000
  99251 CA NA
  99301 AA 50000-75000
  99321 CA <25000
  99451 CA >75000
  99481 CA >75000
  99521 AA >75000
  99611 AA <25000
  99701 AA >75000
  99771 CA 50000-75000
  99861 CA 50000-75000
  99871 AA <25000
  99881 CA >75000
  99911 AA >75000
  99961 CA 50000-75000
  99991 CA 25000-50000
